42 80
1 0 0 1
2 0.723607 -0.52573 0.447214
3 0.723607 0.525731 0.447214
4 -0.27639 0.850651 0.447214
5 -0.89443 0 0.447214
6 -0.27639 -0.85065 0.447214
7 0.894427 0 -0.44721
8 0.276393 0.850651 -0.44721
9 -0.72361 0.525731 -0.44721
10 -0.72361 -0.52573 -0.44721
11 0.276393 -0.85065 -0.44721
12 0 0 -1
13 0.850651 0 0.525731
14 0.425325 0.309017 0.850651
15 0.425325 -0.30902 0.850651
16 0.262866 0.809017 0.525731
17 -0.16246 0.5 0.850651
18 -0.68819 0.5 0.525731
19 -0.52573 0 0.850651
20 -0.68819 -0.5 0.525731
21 -0.16246 -0.5 0.850651
22 0.262866 -0.80902 0.525731
23 0.951056 0.309017 0
24 0.951056 -0.30902 0
25 0 1 0
26 0.587785 0.809017 0
27 -0.95106 0.309017 0
28 -0.58779 0.809017 0
29 -0.58779 -0.80902 0
30 -0.95106 -0.30902 0
31 0.587785 -0.80902 0
32 0 -1 0 
33 0.688191 0.5 -0.52573 
34 -0.26287 0.809017 -0.52573 
35 -0.85065 0 -0.52573 
36 -0.26287 -0.80902 -0.52573 
37 0.688191 -0.5 -0.52573 
38 0.16246 0.5 -0.85065 
39 0.525731 0 -0.85065 
40 -0.42533 0.309017 -0.85065 
41 -0.42533 -0.30902 -0.85065 
42 0.16246 -0.5 -0.85065 
1 3 1 15 14
2 3 15 2 13
3 3 14 13 3
4 3 14 15 13
5 3 1 14 17
6 3 14 3 16
7 3 17 16 4
8 3 17 14 16
9 3 1 17 19
10 3 17 4 18
11 3 19 18 5
12 3 19 17 18
13 3 1 19 21
14 3 19 5 20
15 3 21 20 6
16 3 21 19 20
17 3 1 21 15
18 3 21 6 22
19 3 15 22 2
20 3 15 21 22
21 3 2 24 13
22 3 24 7 23
23 3 13 23 3
24 3 13 24 23
25 3 3 26 16
26 3 26 8 25
27 3 16 25 4
28 3 16 26 25
29 3 4 28 18
30 3 28 9 27
31 3 18 27 5
32 3 18 28 27
33 3 5 30 20
34 3 30 10 29
35 3 20 29 6
36 3 20 30 29
37 3 6 32 22
38 3 32 11 31
39 3 22 31 2
40 3 22 32 31
41 3 7 33 23
42 3 33 8 26
43 3 23 26 3
44 3 23 33 26
45 3 8 34 25
46 3 34 9 28
47 3 25 28 4
48 3 25 34 28
49 3 9 35 27
50 3 35 10 30
51 3 27 30 5
52 3 27 35 30
53 3 10 36 29
54 3 36 11 32
55 3 29 32 6
56 3 29 36 32
57 3 11 37 31
58 3 37 7 24
59 3 31 24 2
60 3 31 37 24
61 3 7 39 33
62 3 39 12 38
63 3 33 38 8
64 3 33 39 38
65 3 8 38 34
66 3 38 12 40
67 3 34 40 9
68 3 34 38 40
69 3 9 40 35
70 3 40 12 41
71 3 35 41 10
72 3 35 40 41
73 3 10 41 36
74 3 41 12 42
75 3 36 42 11
76 3 36 41 42
77 3 11 42 37
78 3 42 12 39
79 3 37 39 7
80 3 37 42 39
