 256  225 
 1  50  100  0 
 2  45  115  0 
 3  33  127  0 
 4  15  135  0 
 5 -6  137  0 
 6 -26  132  0 
 7 -41  122  0 
 8 -49  107  0 
 9 -49  92  0 
 10 -41  77  0 
 11 -25  67  0 
 12 -6  62  0 
 13  15  64  0 
 14  33  72  0 
 15  45  84  0 
 16  50  100  0 
 17  50  91  40 
 18  45  105  46 
 19  33  116  52 
 20  15  123  55 
 21 -6  125  55 
 22 -26  121  53 
 23 -41  111  49 
 24 -49  98  43 
 25 -49  84  37 
 26 -41  71  31 
 27 -25  61  27 
 28 -6  57  25 
 29  15  58  26 
 30  33  65  29 
 31  45  77  34 
 32  50  91  40 
 33  50  66  74 
 34  45  77  85 
 35  33  85  95 
 36  15  90  100 
 37 -6  91  102 
 38 -26  88  98 
 39 -41  81  90 
 40 -49  72  80 
 41 -49  61  68 
 42 -41  52  57 
 43 -25  45  50 
 44 -6  41  46 
 45  15  43  47 
 46  33  48  53 
 47  45  56  62 
 48  50  66  74 
 49  50  30  95 
 50  45  35  109 
 51  33  39  121 
 52  15  41  129 
 53 -6  42  130 
 54 -26  40  125 
 55 -41  37  116 
 56 -49  33  102 
 57 -49  28  87 
 58 -41  24  74 
 59 -25  20  64 
 60 -6  19  59 
 61  15  19  61 
 62  33  22  68 
 63  45  26  80 
 64  50  30  95 
 65  50 -11  99 
 66  45 -13  114 
 67  33 -14  127 
 68  15 -15  134 
 69 -6 -15  136 
 70 -26 -14  131 
 71 -41 -13  121 
 72 -49 -12  107 
 73 -49 -10  91 
 74 -41 -9  77 
 75 -25 -8  67 
 76 -6 -7  62 
 77  15 -7  63 
 78  33 -8  71 
 79  45 -9  84 
 80  50 -11  99 
 81  50 -51  86 
 82  45 -58  99 
 83  33 -64  110 
 84  15 -68  117 
 85 -6 -69  118 
 86 -26 -67  114 
 87 -41 -62  105 
 88 -49 -54  93 
 89 -49 -47  79 
 90 -41 -39  67 
 91 -25 -34  58 
 92 -6 -32  54 
 93  15 -33  55 
 94  33 -37  62 
 95  45 -43  73 
 96  50 -51  86 
 97  50 -81  58 
 98  45 -94  67 
 99  33 -104  75 
 100  15 -110  79 
 101 -6 -112  80 
 102 -26 -108  77 
 103 -41 -99  71 
 104 -49 -88  63 
 105 -49 -75  54 
 106 -41 -64  45 
 107 -25 -55  39 
 108 -6 -51  36 
 109  15 -53  37 
 110  33 -59  42 
 111  45 -69  49 
 112  50 -81  58 
 113  50 -98  20 
 114  45 -113  23 
 115  33 -126  26 
 116  15 -133  28 
 117 -6 -135  28 
 118 -26 -130  27 
 119 -41 -120  25 
 120 -49 -106  22 
 121 -49 -91  19 
 122 -41 -77  16 
 123 -25 -67  14 
 124 -6 -62  13 
 125  15 -63  13 
 126  33 -71  14 
 127  45 -83  17 
 128  50 -98  20 
 129  50 -98 -21 
 130  45 -113 -24 
 131  33 -126 -27 
 132  15 -133 -29 
 133 -6 -135 -29 
 134 -26 -130 -28 
 135 -41 -120 -26 
 136 -49 -106 -23 
 137 -49 -91 -20 
 138 -41 -77 -17 
 139 -25 -67 -15 
 140 -6 -62 -14 
 141  15 -63 -14 
 142  33 -71 -15 
 143  45 -83 -18 
 144  50 -98 -21 
 145  50 -81 -59 
 146  45 -94 -68 
 147  33 -104 -76 
 148  15 -110 -80 
 149 -6 -112 -81 
 150 -26 -108 -78 
 151 -41 -99 -72 
 152 -49 -88 -64 
 153 -49 -75 -55 
 154 -41 -64 -46 
 155 -25 -55 -40 
 156 -6 -51 -37 
